order_details_id,order_id,order_date,order_time,order_date_day,order_date_month,order_date_year,order_time_hour,order_time_minute,order_time_second,order_date_day_name,order_date_weekflag,order_eat_time,menu_item_id,item_name,category,price,revenue
1,11,2023-01-01,13:02:59,1,1,2023,13,2,59,Sunday,Weekend,Lunch,101,Hamburger,American,12.95,6.475
2,11,2023-01-01,13:02:59,1,1,2023,13,2,59,Sunday,Weekend,Lunch,102,Cheeseburger,American,13.95,6.975
3,11,2023-01-01,13:02:59,1,1,2023,13,2,59,Sunday,Weekend,Lunch,102,Cheeseburger,American,13.95,6.975
4,11,2023-01-01,13:02:59,1,1,2023,13,2,59,Sunday,Weekend,Lunch,113,Edamame,Asian,5.0,2.5
1,12,2023-01-01,13:04:41,1,1,2023,13,4,41,Sunday,Weekend,Lunch,102,Cheeseburger,American,13.95,6.975
2,12,2023-01-01,13:04:41,1,1,2023,13,4,41,Sunday,Weekend,Lunch,102,Cheeseburger,American,13.95,6.975
3,12,2023-01-01,13:04:41,1,1,2023,13,4,41,Sunday,Weekend,Lunch,104,Veggie Burger,American,10.5,5.25
4,12,2023-01-01,13:04:41,1,1,2023,13,4,41,Sunday,Weekend,Lunch,117,Chicken Burrito,Mexican,12.95,6.475
1,13,2023-01-01,13:11:55,1,1,2023,13,11,55,Sunday,Weekend,Lunch,129,Mushroom Ravioli,Italian,15.5,7.75
1,14,2023-01-01,13:14:19,1,1,2023,13,14,19,Sunday,Weekend,Lunch,114,Potstickers,Asian,9.0,4.5
1,15,2023-01-01,13:33:00,1,1,2023,13,33,0,Sunday,Weekend,Lunch,107,Orange Chicken,Asian,16.5,8.25
2,15,2023-01-01,13:33:00,1,1,2023,13,33,0,Sunday,Weekend,Lunch,124,Spaghetti,Italian,14.5,7.25
3,15,2023-01-01,13:33:00,1,1,2023,13,33,0,Sunday,Weekend,Lunch,121,Cheese Quesadillas,Mexican,10.5,5.25
4,15,2023-01-01,13:33:00,1,1,2023,13,33,0,Sunday,Weekend,Lunch,114,Potstickers,Asian,9.0,4.5
1,16,2023-01-01,13:34:07,1,1,2023,13,34,7,Sunday,Weekend,Lunch,125,Spaghetti & Meatballs,Italian,17.95,8.975
2,16,2023-01-01,13:34:07,1,1,2023,13,34,7,Sunday,Weekend,Lunch,111,California Roll,Asian,11.95,5.975
3,16,2023-01-01,13:34:07,1,1,2023,13,34,7,Sunday,Weekend,Lunch,106,French Fries,American,7.0,3.5
1,17,2023-01-01,13:53:00,1,1,2023,13,53,0,Sunday,Weekend,Lunch,101,Hamburger,American,12.95,6.475
2,17,2023-01-01,13:53:00,1,1,2023,13,53,0,Sunday,Weekend,Lunch,116,Steak Tacos,Mexican,13.95,6.975
3,17,2023-01-01,13:53:00,1,1,2023,13,53,0,Sunday,Weekend,Lunch,124,Spaghetti,Italian,14.5,7.25
4,17,2023-01-01,13:53:00,1,1,2023,13,53,0,Sunday,Weekend,Lunch,125,Spaghetti & Meatballs,Italian,17.95,8.975
5,17,2023-01-01,13:53:00,1,1,2023,13,53,0,Sunday,Weekend,Lunch,117,Chicken Burrito,Mexican,12.95,6.475
6,17,2023-01-01,13:53:00,1,1,2023,13,53,0,Sunday,Weekend,Lunch,127,Meat Lasagna,Italian,17.95,8.975
7,17,2023-01-01,13:53:00,1,1,2023,13,53,0,Sunday,Weekend,Lunch,128,Cheese Lasagna,Italian,15.5,7.75
8,17,2023-01-01,13:53:00,1,1,2023,13,53,0,Sunday,Weekend,Lunch,129,Mushroom Ravioli,Italian,15.5,7.75
9,17,2023-01-01,13:53:00,1,1,2023,13,53,0,Sunday,Weekend,Lunch,118,Steak Burrito,Mexican,14.95,7.475
10,17,2023-01-01,13:53:00,1,1,2023,13,53,0,Sunday,Weekend,Lunch,131,Chicken Parmesan,Italian,17.95,8.975
1,18,2023-01-01,13:57:08,1,1,2023,13,57,8,Sunday,Weekend,Lunch,111,California Roll,Asian,11.95,5.975
1,19,2023-01-01,13:59:09,1,1,2023,13,59,9,Sunday,Weekend,Lunch,110,Pork Ramen,Asian,17.95,8.975
2,19,2023-01-01,13:59:09,1,1,2023,13,59,9,Sunday,Weekend,Lunch,120,Steak Torta,Mexican,13.95,6.975
1,20,2023-01-01,14:03:08,1,1,2023,14,3,8,Sunday,Weekend,Afternoon Snack,107,Orange Chicken,Asian,16.5,8.25
2,20,2023-01-01,14:03:08,1,1,2023,14,3,8,Sunday,Weekend,Afternoon Snack,124,Spaghetti,Italian,14.5,7.25
1,21,2023-01-01,14:14:29,1,1,2023,14,14,29,Sunday,Weekend,Afternoon Snack,110,Pork Ramen,Asian,17.95,8.975
1,22,2023-01-01,14:16:26,1,1,2023,14,16,26,Sunday,Weekend,Afternoon Snack,124,Spaghetti,Italian,14.5,7.25
2,22,2023-01-01,14:16:26,1,1,2023,14,16,26,Sunday,Weekend,Afternoon Snack,110,Pork Ramen,Asian,17.95,8.975
3,22,2023-01-01,14:16:26,1,1,2023,14,16,26,Sunday,Weekend,Afternoon Snack,105,Mac & Cheese,American,7.0,3.5
1,23,2023-01-01,14:19:03,1,1,2023,14,19,3,Sunday,Weekend,Afternoon Snack,105,Mac & Cheese,American,7.0,3.5
1,24,2023-01-01,14:23:01,1,1,2023,14,23,1,Sunday,Weekend,Afternoon Snack,101,Hamburger,American,12.95,6.475
2,24,2023-01-01,14:23:01,1,1,2023,14,23,1,Sunday,Weekend,Afternoon Snack,110,Pork Ramen,Asian,17.95,8.975
3,24,2023-01-01,14:23:01,1,1,2023,14,23,1,Sunday,Weekend,Afternoon Snack,113,Edamame,Asian,5.0,2.5
4,24,2023-01-01,14:23:01,1,1,2023,14,23,1,Sunday,Weekend,Afternoon Snack,119,Chicken Torta,Mexican,11.95,5.975
1,25,2023-01-01,14:44:44,1,1,2023,14,44,44,Sunday,Weekend,Afternoon Snack,120,Steak Torta,Mexican,13.95,6.975
2,25,2023-01-01,14:44:44,1,1,2023,14,44,44,Sunday,Weekend,Afternoon Snack,106,French Fries,American,7.0,3.5
1,26,2023-01-01,14:54:26,1,1,2023,14,54,26,Sunday,Weekend,Afternoon Snack,108,Tofu Pad Thai,Asian,14.5,7.25
2,26,2023-01-01,14:54:26,1,1,2023,14,54,26,Sunday,Weekend,Afternoon Snack,132,Eggplant Parmesan,Italian,16.95,8.475
1,27,2023-01-01,15:11:17,1,1,2023,15,11,17,Sunday,Weekend,Afternoon Snack,101,Hamburger,American,12.95,6.475
2,27,2023-01-01,15:11:17,1,1,2023,15,11,17,Sunday,Weekend,Afternoon Snack,108,Tofu Pad Thai,Asian,14.5,7.25
3,27,2023-01-01,15:11:17,1,1,2023,15,11,17,Sunday,Weekend,Afternoon Snack,131,Chicken Parmesan,Italian,17.95,8.975
1,28,2023-01-01,15:35:46,1,1,2023,15,35,46,Sunday,Weekend,Afternoon Snack,103,Hot Dog,American,9.0,4.5
1,29,2023-01-01,15:41:01,1,1,2023,15,41,1,Sunday,Weekend,Afternoon Snack,126,Fettuccine Alfredo,Italian,14.5,7.25
1,30,2023-01-01,15:41:25,1,1,2023,15,41,25,Sunday,Weekend,Afternoon Snack,106,French Fries,American,7.0,3.5
1,31,2023-01-01,15:50:18,1,1,2023,15,50,18,Sunday,Weekend,Afternoon Snack,129,Mushroom Ravioli,Italian,15.5,7.75
2,31,2023-01-01,15:50:18,1,1,2023,15,50,18,Sunday,Weekend,Afternoon Snack,113,Edamame,Asian,5.0,2.5
1,32,2023-01-01,15:53:18,1,1,2023,15,53,18,Sunday,Weekend,Afternoon Snack,107,Orange Chicken,Asian,16.5,8.25
2,32,2023-01-01,15:53:18,1,1,2023,15,53,18,Sunday,Weekend,Afternoon Snack,126,Fettuccine Alfredo,Italian,14.5,7.25
3,32,2023-01-01,15:53:18,1,1,2023,15,53,18,Sunday,Weekend,Afternoon Snack,110,Pork Ramen,Asian,17.95,8.975
4,32,2023-01-01,15:53:18,1,1,2023,15,53,18,Sunday,Weekend,Afternoon Snack,117,Chicken Burrito,Mexican,12.95,6.475
1,33,2023-01-01,15:54:08,1,1,2023,15,54,8,Sunday,Weekend,Afternoon Snack,101,Hamburger,American,12.95,6.475
2,33,2023-01-01,15:54:08,1,1,2023,15,54,8,Sunday,Weekend,Afternoon Snack,126,Fettuccine Alfredo,Italian,14.5,7.25
1,34,2023-01-01,16:21:21,1,1,2023,16,21,21,Sunday,Weekend,Afternoon Snack,114,Potstickers,Asian,9.0,4.5
1,35,2023-01-01,16:32:04,1,1,2023,16,32,4,Sunday,Weekend,Afternoon Snack,126,Fettuccine Alfredo,Italian,14.5,7.25
2,35,2023-01-01,16:32:04,1,1,2023,16,32,4,Sunday,Weekend,Afternoon Snack,112,Salmon Roll,Asian,14.95,7.475
3,35,2023-01-01,16:32:04,1,1,2023,16,32,4,Sunday,Weekend,Afternoon Snack,113,Edamame,Asian,5.0,2.5
4,35,2023-01-01,16:32:04,1,1,2023,16,32,4,Sunday,Weekend,Afternoon Snack,106,French Fries,American,7.0,3.5
1,36,2023-01-01,16:54:09,1,1,2023,16,54,9,Sunday,Weekend,Afternoon Snack,101,Hamburger,American,12.95,6.475
2,36,2023-01-01,16:54:09,1,1,2023,16,54,9,Sunday,Weekend,Afternoon Snack,108,Tofu Pad Thai,Asian,14.5,7.25
1,37,2023-01-01,16:56:09,1,1,2023,16,56,9,Sunday,Weekend,Afternoon Snack,117,Chicken Burrito,Mexican,12.95,6.475
2,37,2023-01-01,16:56:09,1,1,2023,16,56,9,Sunday,Weekend,Afternoon Snack,129,Mushroom Ravioli,Italian,15.5,7.75
1,38,2023-01-01,17:03:00,1,1,2023,17,3,0,Sunday,Weekend,Afternoon Snack,109,Korean Beef Bowl,Asian,17.95,8.975
2,38,2023-01-01,17:03:00,1,1,2023,17,3,0,Sunday,Weekend,Afternoon Snack,110,Pork Ramen,Asian,17.95,8.975
1,39,2023-01-01,17:07:23,1,1,2023,17,7,23,Sunday,Weekend,Afternoon Snack,117,Chicken Burrito,Mexican,12.95,6.475
1,40,2023-01-01,17:14:36,1,1,2023,17,14,36,Sunday,Weekend,Afternoon Snack,125,Spaghetti & Meatballs,Italian,17.95,8.975
2,40,2023-01-01,17:14:36,1,1,2023,17,14,36,Sunday,Weekend,Afternoon Snack,105,Mac & Cheese,American,7.0,3.5
1,41,2023-01-01,17:15:20,1,1,2023,17,15,20,Sunday,Weekend,Afternoon Snack,125,Spaghetti & Meatballs,Italian,17.95,8.975
2,41,2023-01-01,17:15:20,1,1,2023,17,15,20,Sunday,Weekend,Afternoon Snack,126,Fettuccine Alfredo,Italian,14.5,7.25
1,42,2023-01-01,17:28:09,1,1,2023,17,28,9,Sunday,Weekend,Afternoon Snack,107,Orange Chicken,Asian,16.5,8.25
2,42,2023-01-01,17:28:09,1,1,2023,17,28,9,Sunday,Weekend,Afternoon Snack,124,Spaghetti,Italian,14.5,7.25
3,42,2023-01-01,17:28:09,1,1,2023,17,28,9,Sunday,Weekend,Afternoon Snack,129,Mushroom Ravioli,Italian,15.5,7.75
4,42,2023-01-01,17:28:09,1,1,2023,17,28,9,Sunday,Weekend,Afternoon Snack,118,Steak Burrito,Mexican,14.95,7.475
1,43,2023-01-01,17:38:34,1,1,2023,17,38,34,Sunday,Weekend,Afternoon Snack,103,Hot Dog,American,9.0,4.5
2,43,2023-01-01,17:38:34,1,1,2023,17,38,34,Sunday,Weekend,Afternoon Snack,117,Chicken Burrito,Mexican,12.95,6.475
3,43,2023-01-01,17:38:34,1,1,2023,17,38,34,Sunday,Weekend,Afternoon Snack,118,Steak Burrito,Mexican,14.95,7.475
1,44,2023-01-01,17:54:20,1,1,2023,17,54,20,Sunday,Weekend,Afternoon Snack,130,Shrimp Scampi,Italian,19.95,9.975
1,45,2023-01-01,17:55:48,1,1,2023,17,55,48,Sunday,Weekend,Afternoon Snack,125,Spaghetti & Meatballs,Italian,17.95,8.975
2,45,2023-01-01,17:55:48,1,1,2023,17,55,48,Sunday,Weekend,Afternoon Snack,109,Korean Beef Bowl,Asian,17.95,8.975
3,45,2023-01-01,17:55:48,1,1,2023,17,55,48,Sunday,Weekend,Afternoon Snack,106,French Fries,American,7.0,3.5
1,46,2023-01-01,18:25:51,1,1,2023,18,25,51,Sunday,Weekend,Dinner,104,Veggie Burger,American,10.5,5.25
2,46,2023-01-01,18:25:51,1,1,2023,18,25,51,Sunday,Weekend,Dinner,108,Tofu Pad Thai,Asian,14.5,7.25
3,46,2023-01-01,18:25:51,1,1,2023,18,25,51,Sunday,Weekend,Dinner,106,French Fries,American,7.0,3.5
1,47,2023-01-01,18:26:34,1,1,2023,18,26,34,Sunday,Weekend,Dinner,105,Mac & Cheese,American,7.0,3.5
2,47,2023-01-01,18:26:34,1,1,2023,18,26,34,Sunday,Weekend,Dinner,132,Eggplant Parmesan,Italian,16.95,8.475
1,48,2023-01-01,18:26:42,1,1,2023,18,26,42,Sunday,Weekend,Dinner,104,Veggie Burger,American,10.5,5.25
2,48,2023-01-01,18:26:42,1,1,2023,18,26,42,Sunday,Weekend,Dinner,126,Fettuccine Alfredo,Italian,14.5,7.25
3,48,2023-01-01,18:26:42,1,1,2023,18,26,42,Sunday,Weekend,Dinner,119,Chicken Torta,Mexican,11.95,5.975
4,48,2023-01-01,18:26:42,1,1,2023,18,26,42,Sunday,Weekend,Dinner,122,Chips & Salsa,Mexican,7.0,3.5
1,49,2023-01-01,18:33:00,1,1,2023,18,33,0,Sunday,Weekend,Dinner,120,Steak Torta,Mexican,13.95,6.975
1,51,2023-01-01,18:48:28,1,1,2023,18,48,28,Sunday,Weekend,Dinner,101,Hamburger,American,12.95,6.475
2,51,2023-01-01,18:48:28,1,1,2023,18,48,28,Sunday,Weekend,Dinner,112,Salmon Roll,Asian,14.95,7.475
1,52,2023-01-01,18:53:02,1,1,2023,18,53,2,Sunday,Weekend,Dinner,109,Korean Beef Bowl,Asian,17.95,8.975
2,52,2023-01-01,18:53:02,1,1,2023,18,53,2,Sunday,Weekend,Dinner,129,Mushroom Ravioli,Italian,15.5,7.75
3,52,2023-01-01,18:53:02,1,1,2023,18,53,2,Sunday,Weekend,Dinner,122,Chips & Salsa,Mexican,7.0,3.5
1,53,2023-01-01,18:54:17,1,1,2023,18,54,17,Sunday,Weekend,Dinner,112,Salmon Roll,Asian,14.95,7.475
2,53,2023-01-01,18:54:17,1,1,2023,18,54,17,Sunday,Weekend,Dinner,123,Chips & Guacamole,Mexican,9.0,4.5
1,54,2023-01-01,19:01:45,1,1,2023,19,1,45,Sunday,Weekend,Dinner,119,Chicken Torta,Mexican,11.95,5.975
2,54,2023-01-01,19:01:45,1,1,2023,19,1,45,Sunday,Weekend,Dinner,106,French Fries,American,7.0,3.5
1,55,2023-01-01,19:03:19,1,1,2023,19,3,19,Sunday,Weekend,Dinner,118,Steak Burrito,Mexican,14.95,7.475
2,55,2023-01-01,19:03:19,1,1,2023,19,3,19,Sunday,Weekend,Dinner,122,Chips & Salsa,Mexican,7.0,3.5
1,56,2023-01-01,19:07:00,1,1,2023,19,7,0,Sunday,Weekend,Dinner,108,Tofu Pad Thai,Asian,14.5,7.25
2,56,2023-01-01,19:07:00,1,1,2023,19,7,0,Sunday,Weekend,Dinner,128,Cheese Lasagna,Italian,15.5,7.75
3,56,2023-01-01,19:07:00,1,1,2023,19,7,0,Sunday,Weekend,Dinner,105,Mac & Cheese,American,7.0,3.5
1,57,2023-01-01,19:10:51,1,1,2023,19,10,51,Sunday,Weekend,Dinner,108,Tofu Pad Thai,Asian,14.5,7.25
1,58,2023-01-01,19:30:40,1,1,2023,19,30,40,Sunday,Weekend,Dinner,124,Spaghetti,Italian,14.5,7.25
2,58,2023-01-01,19:30:40,1,1,2023,19,30,40,Sunday,Weekend,Dinner,113,Edamame,Asian,5.0,2.5
1,59,2023-01-01,19:40:08,1,1,2023,19,40,8,Sunday,Weekend,Dinner,127,Meat Lasagna,Italian,17.95,8.975
2,59,2023-01-01,19:40:08,1,1,2023,19,40,8,Sunday,Weekend,Dinner,112,Salmon Roll,Asian,14.95,7.475
3,59,2023-01-01,19:40:08,1,1,2023,19,40,8,Sunday,Weekend,Dinner,113,Edamame,Asian,5.0,2.5
1,60,2023-01-01,20:05:16,1,1,2023,20,5,16,Sunday,Weekend,Evening Snack,104,Veggie Burger,American,10.5,5.25
2,60,2023-01-01,20:05:16,1,1,2023,20,5,16,Sunday,Weekend,Evening Snack,125,Spaghetti & Meatballs,Italian,17.95,8.975
1,61,2023-01-01,20:08:43,1,1,2023,20,8,43,Sunday,Weekend,Evening Snack,101,Hamburger,American,12.95,6.475
2,61,2023-01-01,20:08:43,1,1,2023,20,8,43,Sunday,Weekend,Evening Snack,117,Chicken Burrito,Mexican,12.95,6.475
1,62,2023-01-01,20:50:16,1,1,2023,20,50,16,Sunday,Weekend,Evening Snack,101,Hamburger,American,12.95,6.475
2,62,2023-01-01,20:50:16,1,1,2023,20,50,16,Sunday,Weekend,Evening Snack,123,Chips & Guacamole,Mexican,9.0,4.5
1,63,2023-01-01,20:51:42,1,1,2023,20,51,42,Sunday,Weekend,Evening Snack,112,Salmon Roll,Asian,14.95,7.475
1,64,2023-01-01,20:52:08,1,1,2023,20,52,8,Sunday,Weekend,Evening Snack,107,Orange Chicken,Asian,16.5,8.25
1,65,2023-01-01,21:16:00,1,1,2023,21,16,0,Sunday,Weekend,Evening Snack,112,Salmon Roll,Asian,14.95,7.475
2,65,2023-01-01,21:16:00,1,1,2023,21,16,0,Sunday,Weekend,Evening Snack,120,Steak Torta,Mexican,13.95,6.975
3,65,2023-01-01,21:16:00,1,1,2023,21,16,0,Sunday,Weekend,Evening Snack,122,Chips & Salsa,Mexican,7.0,3.5
4,65,2023-01-01,21:16:00,1,1,2023,21,16,0,Sunday,Weekend,Evening Snack,123,Chips & Guacamole,Mexican,9.0,4.5
1,66,2023-01-01,21:47:55,1,1,2023,21,47,55,Sunday,Weekend,Evening Snack,108,Tofu Pad Thai,Asian,14.5,7.25
2,66,2023-01-01,21:47:55,1,1,2023,21,47,55,Sunday,Weekend,Evening Snack,110,Pork Ramen,Asian,17.95,8.975
1,67,2023-01-01,22:03:40,1,1,2023,22,3,40,Sunday,Weekend,Evening Snack,105,Mac & Cheese,American,7.0,3.5
1,68,2023-01-01,22:07:32,1,1,2023,22,7,32,Sunday,Weekend,Evening Snack,108,Tofu Pad Thai,Asian,14.5,7.25
2,68,2023-01-01,22:07:32,1,1,2023,22,7,32,Sunday,Weekend,Evening Snack,117,Chicken Burrito,Mexican,12.95,6.475
3,68,2023-01-01,22:07:32,1,1,2023,22,7,32,Sunday,Weekend,Evening Snack,117,Chicken Burrito,Mexican,12.95,6.475
1,69,2023-01-01,22:12:13,1,1,2023,22,12,13,Sunday,Weekend,Evening Snack,101,Hamburger,American,12.95,6.475
1,70,2023-01-02,11:38:51,2,1,2023,11,38,51,Monday,Weekday,Brunch,127,Meat Lasagna,Italian,17.95,8.975
2,70,2023-01-02,11:38:51,2,1,2023,11,38,51,Monday,Weekday,Brunch,121,Cheese Quesadillas,Mexican,10.5,5.25
1,71,2023-01-02,11:40:50,2,1,2023,11,40,50,Monday,Weekday,Brunch,106,French Fries,American,7.0,3.5
1,72,2023-01-02,11:57:25,2,1,2023,11,57,25,Monday,Weekday,Brunch,131,Chicken Parmesan,Italian,17.95,8.975
1,73,2023-01-02,11:58:56,2,1,2023,11,58,56,Monday,Weekday,Brunch,106,French Fries,American,7.0,3.5
1,74,2023-01-02,12:01:12,2,1,2023,12,1,12,Monday,Weekday,Lunch,124,Spaghetti,Italian,14.5,7.25
2,74,2023-01-02,12:01:12,2,1,2023,12,1,12,Monday,Weekday,Lunch,129,Mushroom Ravioli,Italian,15.5,7.75
3,74,2023-01-02,12:01:12,2,1,2023,12,1,12,Monday,Weekday,Lunch,130,Shrimp Scampi,Italian,19.95,9.975
4,74,2023-01-02,12:01:12,2,1,2023,12,1,12,Monday,Weekday,Lunch,123,Chips & Guacamole,Mexican,9.0,4.5
1,75,2023-01-02,12:10:15,2,1,2023,12,10,15,Monday,Weekday,Lunch,117,Chicken Burrito,Mexican,12.95,6.475
2,75,2023-01-02,12:10:15,2,1,2023,12,10,15,Monday,Weekday,Lunch,128,Cheese Lasagna,Italian,15.5,7.75
3,75,2023-01-02,12:10:15,2,1,2023,12,10,15,Monday,Weekday,Lunch,111,California Roll,Asian,11.95,5.975
1,76,2023-01-02,12:21:17,2,1,2023,12,21,17,Monday,Weekday,Lunch,107,Orange Chicken,Asian,16.5,8.25
2,76,2023-01-02,12:21:17,2,1,2023,12,21,17,Monday,Weekday,Lunch,109,Korean Beef Bowl,Asian,17.95,8.975
3,76,2023-01-02,12:21:17,2,1,2023,12,21,17,Monday,Weekday,Lunch,127,Meat Lasagna,Italian,17.95,8.975
4,76,2023-01-02,12:21:17,2,1,2023,12,21,17,Monday,Weekday,Lunch,122,Chips & Salsa,Mexican,7.0,3.5
1,77,2023-01-02,12:22:46,2,1,2023,12,22,46,Monday,Weekday,Lunch,101,Hamburger,American,12.95,6.475
2,77,2023-01-02,12:22:46,2,1,2023,12,22,46,Monday,Weekday,Lunch,109,Korean Beef Bowl,Asian,17.95,8.975
1,78,2023-01-02,12:28:14,2,1,2023,12,28,14,Monday,Weekday,Lunch,107,Orange Chicken,Asian,16.5,8.25
2,78,2023-01-02,12:28:14,2,1,2023,12,28,14,Monday,Weekday,Lunch,108,Tofu Pad Thai,Asian,14.5,7.25
3,78,2023-01-02,12:28:14,2,1,2023,12,28,14,Monday,Weekday,Lunch,125,Spaghetti & Meatballs,Italian,17.95,8.975
4,78,2023-01-02,12:28:14,2,1,2023,12,28,14,Monday,Weekday,Lunch,110,Pork Ramen,Asian,17.95,8.975
5,78,2023-01-02,12:28:14,2,1,2023,12,28,14,Monday,Weekday,Lunch,122,Chips & Salsa,Mexican,7.0,3.5
6,78,2023-01-02,12:28:14,2,1,2023,12,28,14,Monday,Weekday,Lunch,106,French Fries,American,7.0,3.5
1,79,2023-01-02,12:29:11,2,1,2023,12,29,11,Monday,Weekday,Lunch,110,Pork Ramen,Asian,17.95,8.975
2,79,2023-01-02,12:29:11,2,1,2023,12,29,11,Monday,Weekday,Lunch,112,Salmon Roll,Asian,14.95,7.475
3,79,2023-01-02,12:29:11,2,1,2023,12,29,11,Monday,Weekday,Lunch,106,French Fries,American,7.0,3.5
1,80,2023-01-02,12:35:38,2,1,2023,12,35,38,Monday,Weekday,Lunch,113,Edamame,Asian,5.0,2.5
2,80,2023-01-02,12:35:38,2,1,2023,12,35,38,Monday,Weekday,Lunch,106,French Fries,American,7.0,3.5
1,81,2023-01-02,12:40:01,2,1,2023,12,40,1,Monday,Weekday,Lunch,106,French Fries,American,7.0,3.5
1,82,2023-01-02,12:45:51,2,1,2023,12,45,51,Monday,Weekday,Lunch,107,Orange Chicken,Asian,16.5,8.25
2,82,2023-01-02,12:45:51,2,1,2023,12,45,51,Monday,Weekday,Lunch,102,Cheeseburger,American,13.95,6.975
3,82,2023-01-02,12:45:51,2,1,2023,12,45,51,Monday,Weekday,Lunch,122,Chips & Salsa,Mexican,7.0,3.5
4,82,2023-01-02,12:45:51,2,1,2023,12,45,51,Monday,Weekday,Lunch,132,Eggplant Parmesan,Italian,16.95,8.475
1,83,2023-01-02,12:53:27,2,1,2023,12,53,27,Monday,Weekday,Lunch,105,Mac & Cheese,American,7.0,3.5
1,84,2023-01-02,13:13:41,2,1,2023,13,13,41,Monday,Weekday,Lunch,113,Edamame,Asian,5.0,2.5
1,85,2023-01-02,13:34:49,2,1,2023,13,34,49,Monday,Weekday,Lunch,108,Tofu Pad Thai,Asian,14.5,7.25
2,85,2023-01-02,13:34:49,2,1,2023,13,34,49,Monday,Weekday,Lunch,108,Tofu Pad Thai,Asian,14.5,7.25
3,85,2023-01-02,13:34:49,2,1,2023,13,34,49,Monday,Weekday,Lunch,117,Chicken Burrito,Mexican,12.95,6.475
4,85,2023-01-02,13:34:49,2,1,2023,13,34,49,Monday,Weekday,Lunch,114,Potstickers,Asian,9.0,4.5
1,86,2023-01-02,13:40:31,2,1,2023,13,40,31,Monday,Weekday,Lunch,109,Korean Beef Bowl,Asian,17.95,8.975
