order_time_id,order_time,order_time_hour,order_time_minute,order_time_second,order_time_am_pm,order_eat_time
150848,15:08:48,15,8,48,PM,Afternoon Snack
151443,15:14:43,15,14,43,PM,Afternoon Snack
151702,15:17:02,15,17,2,PM,Afternoon Snack
152931,15:29:31,15,29,31,PM,Afternoon Snack
161716,16:17:16,16,17,16,PM,Afternoon Snack
161804,16:18:04,16,18,4,PM,Afternoon Snack
162120,16:21:20,16,21,20,PM,Afternoon Snack
164533,16:45:33,16,45,33,PM,Afternoon Snack
171818,17:18:18,17,18,18,PM,Afternoon Snack
174542,17:45:42,17,45,42,PM,Afternoon Snack
174617,17:46:17,17,46,17,PM,Afternoon Snack
175133,17:51:33,17,51,33,PM,Afternoon Snack
175404,17:54:04,17,54,4,PM,Afternoon Snack
180209,18:02:09,18,2,9,PM,Dinner
180212,18:02:12,18,2,12,PM,Dinner
181201,18:12:01,18,12,1,PM,Dinner
181213,18:12:13,18,12,13,PM,Dinner
182509,18:25:09,18,25,9,PM,Dinner
182525,18:25:25,18,25,25,PM,Dinner
182750,18:27:50,18,27,50,PM,Dinner
183619,18:36:19,18,36,19,PM,Dinner
183801,18:38:01,18,38,1,PM,Dinner
184140,18:41:40,18,41,40,PM,Dinner
185021,18:50:21,18,50,21,PM,Dinner
185932,18:59:32,18,59,32,PM,Dinner
190517,19:05:17,19,5,17,PM,Dinner
191849,19:18:49,19,18,49,PM,Dinner
192302,19:23:02,19,23,2,PM,Dinner
192659,19:26:59,19,26,59,PM,Dinner
193229,19:32:29,19,32,29,PM,Dinner
193507,19:35:07,19,35,7,PM,Dinner
193848,19:38:48,19,38,48,PM,Dinner
195019,19:50:19,19,50,19,PM,Dinner
201209,20:12:09,20,12,9,PM,Evening Snack
201234,20:12:34,20,12,34,PM,Evening Snack
205342,20:53:42,20,53,42,PM,Evening Snack
205823,20:58:23,20,58,23,PM,Evening Snack
210506,21:05:06,21,5,6,PM,Evening Snack
211302,21:13:02,21,13,2,PM,Evening Snack
211455,21:14:55,21,14,55,PM,Evening Snack
213310,21:33:10,21,33,10,PM,Evening Snack
214245,21:42:45,21,42,45,PM,Evening Snack
220017,22:00:17,22,0,17,PM,Evening Snack
221324,22:13:24,22,13,24,PM,Evening Snack
222934,22:29:34,22,29,34,PM,Evening Snack
223249,22:32:49,22,32,49,PM,Evening Snack
113410,11:34:10,11,34,10,AM,Brunch
114450,11:44:50,11,44,50,AM,Brunch
115739,11:57:39,11,57,39,AM,Brunch
122644,12:26:44,12,26,44,PM,Lunch
131601,13:16:01,13,16,1,PM,Lunch
133359,13:33:59,13,33,59,PM,Lunch
134136,13:41:36,13,41,36,PM,Lunch
134428,13:44:28,13,44,28,PM,Lunch
135348,13:53:48,13,53,48,PM,Lunch
142210,14:22:10,14,22,10,PM,Afternoon Snack
144042,14:40:42,14,40,42,PM,Afternoon Snack
144845,14:48:45,14,48,45,PM,Afternoon Snack
144958,14:49:58,14,49,58,PM,Afternoon Snack
150934,15:09:34,15,9,34,PM,Afternoon Snack
150942,15:09:42,15,9,42,PM,Afternoon Snack
151634,15:16:34,15,16,34,PM,Afternoon Snack
152243,15:22:43,15,22,43,PM,Afternoon Snack
152859,15:28:59,15,28,59,PM,Afternoon Snack
154219,15:42:19,15,42,19,PM,Afternoon Snack
154303,15:43:03,15,43,3,PM,Afternoon Snack
155430,15:54:30,15,54,30,PM,Afternoon Snack
155922,15:59:22,15,59,22,PM,Afternoon Snack
163533,16:35:33,16,35,33,PM,Afternoon Snack
164346,16:43:46,16,43,46,PM,Afternoon Snack
165122,16:51:22,16,51,22,PM,Afternoon Snack
165454,16:54:54,16,54,54,PM,Afternoon Snack
165633,16:56:33,16,56,33,PM,Afternoon Snack
165737,16:57:37,16,57,37,PM,Afternoon Snack
165851,16:58:51,16,58,51,PM,Afternoon Snack
170049,17:00:49,17,0,49,PM,Afternoon Snack
170227,17:02:27,17,2,27,PM,Afternoon Snack
171548,17:15:48,17,15,48,PM,Afternoon Snack
172131,17:21:31,17,21,31,PM,Afternoon Snack
172303,17:23:03,17,23,3,PM,Afternoon Snack
172924,17:29:24,17,29,24,PM,Afternoon Snack
173530,17:35:30,17,35,30,PM,Afternoon Snack
173749,17:37:49,17,37,49,PM,Afternoon Snack
175051,17:50:51,17,50,51,PM,Afternoon Snack
175157,17:51:57,17,51,57,PM,Afternoon Snack
175436,17:54:36,17,54,36,PM,Afternoon Snack
181503,18:15:03,18,15,3,PM,Dinner
182014,18:20:14,18,20,14,PM,Dinner
183334,18:33:34,18,33,34,PM,Dinner
184932,18:49:32,18,49,32,PM,Dinner
185010,18:50:10,18,50,10,PM,Dinner
185455,18:54:55,18,54,55,PM,Dinner
185905,18:59:05,18,59,5,PM,Dinner
190833,19:08:33,19,8,33,PM,Dinner
193600,19:36:00,19,36,0,PM,Dinner
193712,19:37:12,19,37,12,PM,Dinner
200839,20:08:39,20,8,39,PM,Evening Snack
201214,20:12:14,20,12,14,PM,Evening Snack
201423,20:14:23,20,14,23,PM,Evening Snack
202450,20:24:50,20,24,50,PM,Evening Snack
203008,20:30:08,20,30,8,PM,Evening Snack
205547,20:55:47,20,55,47,PM,Evening Snack
212124,21:21:24,21,21,24,PM,Evening Snack
212520,21:25:20,21,25,20,PM,Evening Snack
214014,21:40:14,21,40,14,PM,Evening Snack
214748,21:47:48,21,47,48,PM,Evening Snack
215542,21:55:42,21,55,42,PM,Evening Snack
221038,22:10:38,22,10,38,PM,Evening Snack
222959,22:29:59,22,29,59,PM,Evening Snack
225029,22:50:29,22,50,29,PM,Evening Snack
113048,11:30:48,11,30,48,AM,Brunch
113625,11:36:25,11,36,25,AM,Brunch
114354,11:43:54,11,43,54,AM,Brunch
114510,11:45:10,11,45,10,AM,Brunch
120358,12:03:58,12,3,58,PM,Lunch
121205,12:12:05,12,12,5,PM,Lunch
122917,12:29:17,12,29,17,PM,Lunch
123413,12:34:13,12,34,13,PM,Lunch
125420,12:54:20,12,54,20,PM,Lunch
131603,13:16:03,13,16,3,PM,Lunch
132039,13:20:39,13,20,39,PM,Lunch
133916,13:39:16,13,39,16,PM,Lunch
134449,13:44:49,13,44,49,PM,Lunch
143156,14:31:56,14,31,56,PM,Afternoon Snack
143503,14:35:03,14,35,3,PM,Afternoon Snack
143511,14:35:11,14,35,11,PM,Afternoon Snack
144201,14:42:01,14,42,1,PM,Afternoon Snack
153159,15:31:59,15,31,59,PM,Afternoon Snack
153318,15:33:18,15,33,18,PM,Afternoon Snack
154638,15:46:38,15,46,38,PM,Afternoon Snack
160820,16:08:20,16,8,20,PM,Afternoon Snack
163958,16:39:58,16,39,58,PM,Afternoon Snack
164148,16:41:48,16,41,48,PM,Afternoon Snack
165939,16:59:39,16,59,39,PM,Afternoon Snack
172439,17:24:39,17,24,39,PM,Afternoon Snack
173124,17:31:24,17,31,24,PM,Afternoon Snack
173757,17:37:57,17,37,57,PM,Afternoon Snack
175838,17:58:38,17,58,38,PM,Afternoon Snack
180418,18:04:18,18,4,18,PM,Dinner
182159,18:21:59,18,21,59,PM,Dinner
182651,18:26:51,18,26,51,PM,Dinner
183609,18:36:09,18,36,9,PM,Dinner
185130,18:51:30,18,51,30,PM,Dinner
192104,19:21:04,19,21,4,PM,Dinner
192748,19:27:48,19,27,48,PM,Dinner
194515,19:45:15,19,45,15,PM,Dinner
195752,19:57:52,19,57,52,PM,Dinner
201024,20:10:24,20,10,24,PM,Evening Snack
201125,20:11:25,20,11,25,PM,Evening Snack
201529,20:15:29,20,15,29,PM,Evening Snack
202617,20:26:17,20,26,17,PM,Evening Snack
202622,20:26:22,20,26,22,PM,Evening Snack
202841,20:28:41,20,28,41,PM,Evening Snack
203048,20:30:48,20,30,48,PM,Evening Snack
205529,20:55:29,20,55,29,PM,Evening Snack
205819,20:58:19,20,58,19,PM,Evening Snack
210616,21:06:16,21,6,16,PM,Evening Snack
210705,21:07:05,21,7,5,PM,Evening Snack
211005,21:10:05,21,10,5,PM,Evening Snack
221315,22:13:15,22,13,15,PM,Evening Snack
221618,22:16:18,22,16,18,PM,Evening Snack
222213,22:22:13,22,22,13,PM,Evening Snack
112335,11:23:35,11,23,35,AM,Brunch
115606,11:56:06,11,56,6,AM,Brunch
115904,11:59:04,11,59,4,AM,Brunch
115923,11:59:23,11,59,23,AM,Brunch
120425,12:04:25,12,4,25,PM,Lunch
120627,12:06:27,12,6,27,PM,Lunch
123829,12:38:29,12,38,29,PM,Lunch
124201,12:42:01,12,42,1,PM,Lunch
125722,12:57:22,12,57,22,PM,Lunch
130359,13:03:59,13,3,59,PM,Lunch
130442,13:04:42,13,4,42,PM,Lunch
130929,13:09:29,13,9,29,PM,Lunch
133750,13:37:50,13,37,50,PM,Lunch
134046,13:40:46,13,40,46,PM,Lunch
134934,13:49:34,13,49,34,PM,Lunch
140902,14:09:02,14,9,2,PM,Afternoon Snack
142219,14:22:19,14,22,19,PM,Afternoon Snack
142405,14:24:05,14,24,5,PM,Afternoon Snack
142800,14:28:00,14,28,0,PM,Afternoon Snack
143633,14:36:33,14,36,33,PM,Afternoon Snack
143814,14:38:14,14,38,14,PM,Afternoon Snack
151818,15:18:18,15,18,18,PM,Afternoon Snack
154150,15:41:50,15,41,50,PM,Afternoon Snack
154921,15:49:21,15,49,21,PM,Afternoon Snack
160703,16:07:03,16,7,3,PM,Afternoon Snack
162023,16:20:23,16,20,23,PM,Afternoon Snack
163348,16:33:48,16,33,48,PM,Afternoon Snack
164938,16:49:38,16,49,38,PM,Afternoon Snack
165143,16:51:43,16,51,43,PM,Afternoon Snack
165816,16:58:16,16,58,16,PM,Afternoon Snack
165838,16:58:38,16,58,38,PM,Afternoon Snack
170123,17:01:23,17,1,23,PM,Afternoon Snack
173009,17:30:09,17,30,9,PM,Afternoon Snack
173244,17:32:44,17,32,44,PM,Afternoon Snack
173623,17:36:23,17,36,23,PM,Afternoon Snack
174116,17:41:16,17,41,16,PM,Afternoon Snack
174439,17:44:39,17,44,39,PM,Afternoon Snack
174859,17:48:59,17,48,59,PM,Afternoon Snack
181635,18:16:35,18,16,35,PM,Dinner
182012,18:20:12,18,20,12,PM,Dinner
184654,18:46:54,18,46,54,PM,Dinner
190218,19:02:18,19,2,18,PM,Dinner
191036,19:10:36,19,10,36,PM,Dinner
193431,19:34:31,19,34,31,PM,Dinner
194254,19:42:54,19,42,54,PM,Dinner
194558,19:45:58,19,45,58,PM,Dinner
195737,19:57:37,19,57,37,PM,Dinner
200251,20:02:51,20,2,51,PM,Evening Snack
200758,20:07:58,20,7,58,PM,Evening Snack
203540,20:35:40,20,35,40,PM,Evening Snack
203740,20:37:40,20,37,40,PM,Evening Snack
214538,21:45:38,21,45,38,PM,Evening Snack
215946,21:59:46,21,59,46,PM,Evening Snack
113906,11:39:06,11,39,6,AM,Brunch
114048,11:40:48,11,40,48,AM,Brunch
115727,11:57:27,11,57,27,AM,Brunch
120521,12:05:21,12,5,21,PM,Lunch
120909,12:09:09,12,9,9,PM,Lunch
121158,12:11:58,12,11,58,PM,Lunch
121740,12:17:40,12,17,40,PM,Lunch
122934,12:29:34,12,29,34,PM,Lunch
123100,12:31:00,12,31,0,PM,Lunch
124514,12:45:14,12,45,14,PM,Lunch
124622,12:46:22,12,46,22,PM,Lunch
124640,12:46:40,12,46,40,PM,Lunch
125621,12:56:21,12,56,21,PM,Lunch
130213,13:02:13,13,2,13,PM,Lunch
130533,13:05:33,13,5,33,PM,Lunch
130644,13:06:44,13,6,44,PM,Lunch
130732,13:07:32,13,7,32,PM,Lunch
131013,13:10:13,13,10,13,PM,Lunch
131054,13:10:54,13,10,54,PM,Lunch
131635,13:16:35,13,16,35,PM,Lunch
132244,13:22:44,13,22,44,PM,Lunch
132711,13:27:11,13,27,11,PM,Lunch
134330,13:43:30,13,43,30,PM,Lunch
141201,14:12:01,14,12,1,PM,Afternoon Snack
141636,14:16:36,14,16,36,PM,Afternoon Snack
142418,14:24:18,14,24,18,PM,Afternoon Snack
142447,14:24:47,14,24,47,PM,Afternoon Snack
145141,14:51:41,14,51,41,PM,Afternoon Snack
150312,15:03:12,15,3,12,PM,Afternoon Snack
151826,15:18:26,15,18,26,PM,Afternoon Snack
152513,15:25:13,15,25,13,PM,Afternoon Snack
153532,15:35:32,15,35,32,PM,Afternoon Snack
153547,15:35:47,15,35,47,PM,Afternoon Snack
154412,15:44:12,15,44,12,PM,Afternoon Snack
154537,15:45:37,15,45,37,PM,Afternoon Snack
160111,16:01:11,16,1,11,PM,Afternoon Snack
160147,16:01:47,16,1,47,PM,Afternoon Snack
163000,16:30:00,16,30,0,PM,Afternoon Snack
163717,16:37:17,16,37,17,PM,Afternoon Snack
164912,16:49:12,16,49,12,PM,Afternoon Snack
172558,17:25:58,17,25,58,PM,Afternoon Snack
173705,17:37:05,17,37,5,PM,Afternoon Snack
173729,17:37:29,17,37,29,PM,Afternoon Snack
174548,17:45:48,17,45,48,PM,Afternoon Snack
175948,17:59:48,17,59,48,PM,Afternoon Snack
180144,18:01:44,18,1,44,PM,Dinner
181445,18:14:45,18,14,45,PM,Dinner
181605,18:16:05,18,16,5,PM,Dinner
182758,18:27:58,18,27,58,PM,Dinner
183012,18:30:12,18,30,12,PM,Dinner
183308,18:33:08,18,33,8,PM,Dinner
185038,18:50:38,18,50,38,PM,Dinner
191238,19:12:38,19,12,38,PM,Dinner
191336,19:13:36,19,13,36,PM,Dinner
192031,19:20:31,19,20,31,PM,Dinner
192724,19:27:24,19,27,24,PM,Dinner
193726,19:37:26,19,37,26,PM,Dinner
200420,20:04:20,20,4,20,PM,Evening Snack
200512,20:05:12,20,5,12,PM,Evening Snack
202816,20:28:16,20,28,16,PM,Evening Snack
203006,20:30:06,20,30,6,PM,Evening Snack
210230,21:02:30,21,2,30,PM,Evening Snack
211520,21:15:20,21,15,20,PM,Evening Snack
222659,22:26:59,22,26,59,PM,Evening Snack
114518,11:45:18,11,45,18,AM,Brunch
115559,11:55:59,11,55,59,AM,Brunch
115836,11:58:36,11,58,36,AM,Brunch
120117,12:01:17,12,1,17,PM,Lunch
120318,12:03:18,12,3,18,PM,Lunch
121937,12:19:37,12,19,37,PM,Lunch
122537,12:25:37,12,25,37,PM,Lunch
123210,12:32:10,12,32,10,PM,Lunch
123306,12:33:06,12,33,6,PM,Lunch
123307,12:33:07,12,33,7,PM,Lunch
124359,12:43:59,12,43,59,PM,Lunch
125146,12:51:46,12,51,46,PM,Lunch
125419,12:54:19,12,54,19,PM,Lunch
125816,12:58:16,12,58,16,PM,Lunch
130314,13:03:14,13,3,14,PM,Lunch
130456,13:04:56,13,4,56,PM,Lunch
131017,13:10:17,13,10,17,PM,Lunch
131532,13:15:32,13,15,32,PM,Lunch
132531,13:25:31,13,25,31,PM,Lunch
133647,13:36:47,13,36,47,PM,Lunch
134831,13:48:31,13,48,31,PM,Lunch
140218,14:02:18,14,2,18,PM,Afternoon Snack
141108,14:11:08,14,11,8,PM,Afternoon Snack
141221,14:12:21,14,12,21,PM,Afternoon Snack
143110,14:31:10,14,31,10,PM,Afternoon Snack
145626,14:56:26,14,56,26,PM,Afternoon Snack
154749,15:47:49,15,47,49,PM,Afternoon Snack
160307,16:03:07,16,3,7,PM,Afternoon Snack
160835,16:08:35,16,8,35,PM,Afternoon Snack
162446,16:24:46,16,24,46,PM,Afternoon Snack
162610,16:26:10,16,26,10,PM,Afternoon Snack
163927,16:39:27,16,39,27,PM,Afternoon Snack
164416,16:44:16,16,44,16,PM,Afternoon Snack
165049,16:50:49,16,50,49,PM,Afternoon Snack
165642,16:56:42,16,56,42,PM,Afternoon Snack
170909,17:09:09,17,9,9,PM,Afternoon Snack
171504,17:15:04,17,15,4,PM,Afternoon Snack
173349,17:33:49,17,33,49,PM,Afternoon Snack
175809,17:58:09,17,58,9,PM,Afternoon Snack
180746,18:07:46,18,7,46,PM,Dinner
181132,18:11:32,18,11,32,PM,Dinner
181322,18:13:22,18,13,22,PM,Dinner
181623,18:16:23,18,16,23,PM,Dinner
181742,18:17:42,18,17,42,PM,Dinner
182440,18:24:40,18,24,40,PM,Dinner
184011,18:40:11,18,40,11,PM,Dinner
190231,19:02:31,19,2,31,PM,Dinner
190440,19:04:40,19,4,40,PM,Dinner
192158,19:21:58,19,21,58,PM,Dinner
193025,19:30:25,19,30,25,PM,Dinner
194507,19:45:07,19,45,7,PM,Dinner
200128,20:01:28,20,1,28,PM,Evening Snack
202119,20:21:19,20,21,19,PM,Evening Snack
202545,20:25:45,20,25,45,PM,Evening Snack
214900,21:49:00,21,49,0,PM,Evening Snack
220500,22:05:00,22,5,0,PM,Evening Snack
221653,22:16:53,22,16,53,PM,Evening Snack
224613,22:46:13,22,46,13,PM,Evening Snack
111713,11:17:13,11,17,13,AM,Brunch
113907,11:39:07,11,39,7,AM,Brunch
114950,11:49:50,11,49,50,AM,Brunch
115414,11:54:14,11,54,14,AM,Brunch
120609,12:06:09,12,6,9,PM,Lunch
120721,12:07:21,12,7,21,PM,Lunch
120754,12:07:54,12,7,54,PM,Lunch
120838,12:08:38,12,8,38,PM,Lunch
121308,12:13:08,12,13,8,PM,Lunch
121634,12:16:34,12,16,34,PM,Lunch
121658,12:16:58,12,16,58,PM,Lunch
122849,12:28:49,12,28,49,PM,Lunch
123420,12:34:20,12,34,20,PM,Lunch
124005,12:40:05,12,40,5,PM,Lunch
125739,12:57:39,12,57,39,PM,Lunch
125801,12:58:01,12,58,1,PM,Lunch
130200,13:02:00,13,2,0,PM,Lunch
130334,13:03:34,13,3,34,PM,Lunch
130415,13:04:15,13,4,15,PM,Lunch
130753,13:07:53,13,7,53,PM,Lunch
131906,13:19:06,13,19,6,PM,Lunch
132411,13:24:11,13,24,11,PM,Lunch
132714,13:27:14,13,27,14,PM,Lunch
133140,13:31:40,13,31,40,PM,Lunch
133914,13:39:14,13,39,14,PM,Lunch
134753,13:47:53,13,47,53,PM,Lunch
135904,13:59:04,13,59,4,PM,Lunch
140005,14:00:05,14,0,5,PM,Afternoon Snack
141402,14:14:02,14,14,2,PM,Afternoon Snack
141958,14:19:58,14,19,58,PM,Afternoon Snack
142119,14:21:19,14,21,19,PM,Afternoon Snack
143841,14:38:41,14,38,41,PM,Afternoon Snack
144028,14:40:28,14,40,28,PM,Afternoon Snack
144901,14:49:01,14,49,1,PM,Afternoon Snack
145523,14:55:23,14,55,23,PM,Afternoon Snack
153010,15:30:10,15,30,10,PM,Afternoon Snack
153313,15:33:13,15,33,13,PM,Afternoon Snack
153612,15:36:12,15,36,12,PM,Afternoon Snack
153718,15:37:18,15,37,18,PM,Afternoon Snack
154913,15:49:13,15,49,13,PM,Afternoon Snack
162026,16:20:26,16,20,26,PM,Afternoon Snack
162950,16:29:50,16,29,50,PM,Afternoon Snack
164127,16:41:27,16,41,27,PM,Afternoon Snack
164748,16:47:48,16,47,48,PM,Afternoon Snack
171517,17:15:17,17,15,17,PM,Afternoon Snack
172756,17:27:56,17,27,56,PM,Afternoon Snack
173004,17:30:04,17,30,4,PM,Afternoon Snack
173556,17:35:56,17,35,56,PM,Afternoon Snack
173703,17:37:03,17,37,3,PM,Afternoon Snack
174131,17:41:31,17,41,31,PM,Afternoon Snack
174137,17:41:37,17,41,37,PM,Afternoon Snack
175242,17:52:42,17,52,42,PM,Afternoon Snack
175405,17:54:05,17,54,5,PM,Afternoon Snack
180254,18:02:54,18,2,54,PM,Dinner
180731,18:07:31,18,7,31,PM,Dinner
181508,18:15:08,18,15,8,PM,Dinner
183016,18:30:16,18,30,16,PM,Dinner
184602,18:46:02,18,46,2,PM,Dinner
184843,18:48:43,18,48,43,PM,Dinner
184924,18:49:24,18,49,24,PM,Dinner
190112,19:01:12,19,1,12,PM,Dinner
190621,19:06:21,19,6,21,PM,Dinner
193147,19:31:47,19,31,47,PM,Dinner
193840,19:38:40,19,38,40,PM,Dinner
194252,19:42:52,19,42,52,PM,Dinner
194618,19:46:18,19,46,18,PM,Dinner
194926,19:49:26,19,49,26,PM,Dinner
200225,20:02:25,20,2,25,PM,Evening Snack
211046,21:10:46,21,10,46,PM,Evening Snack
214649,21:46:49,21,46,49,PM,Evening Snack
215131,21:51:31,21,51,31,PM,Evening Snack
222608,22:26:08,22,26,8,PM,Evening Snack
111621,11:16:21,11,16,21,AM,Brunch
114818,11:48:18,11,48,18,AM,Brunch
115510,11:55:10,11,55,10,AM,Brunch
120209,12:02:09,12,2,9,PM,Lunch
120603,12:06:03,12,6,3,PM,Lunch
121332,12:13:32,12,13,32,PM,Lunch
121358,12:13:58,12,13,58,PM,Lunch
121503,12:15:03,12,15,3,PM,Lunch
121821,12:18:21,12,18,21,PM,Lunch
121924,12:19:24,12,19,24,PM,Lunch
122248,12:22:48,12,22,48,PM,Lunch
122647,12:26:47,12,26,47,PM,Lunch
130737,13:07:37,13,7,37,PM,Lunch
130909,13:09:09,13,9,9,PM,Lunch
130911,13:09:11,13,9,11,PM,Lunch
131125,13:11:25,13,11,25,PM,Lunch
131520,13:15:20,13,15,20,PM,Lunch
132233,13:22:33,13,22,33,PM,Lunch
134307,13:43:07,13,43,7,PM,Lunch
140933,14:09:33,14,9,33,PM,Afternoon Snack
144214,14:42:14,14,42,14,PM,Afternoon Snack
145135,14:51:35,14,51,35,PM,Afternoon Snack
150846,15:08:46,15,8,46,PM,Afternoon Snack
151013,15:10:13,15,10,13,PM,Afternoon Snack
152337,15:23:37,15,23,37,PM,Afternoon Snack
152721,15:27:21,15,27,21,PM,Afternoon Snack
153101,15:31:01,15,31,1,PM,Afternoon Snack
154301,15:43:01,15,43,1,PM,Afternoon Snack
155810,15:58:10,15,58,10,PM,Afternoon Snack
161428,16:14:28,16,14,28,PM,Afternoon Snack
162843,16:28:43,16,28,43,PM,Afternoon Snack
164332,16:43:32,16,43,32,PM,Afternoon Snack
170847,17:08:47,17,8,47,PM,Afternoon Snack
171850,17:18:50,17,18,50,PM,Afternoon Snack
172352,17:23:52,17,23,52,PM,Afternoon Snack
174404,17:44:04,17,44,4,PM,Afternoon Snack
175134,17:51:34,17,51,34,PM,Afternoon Snack
175241,17:52:41,17,52,41,PM,Afternoon Snack
180747,18:07:47,18,7,47,PM,Dinner
180806,18:08:06,18,8,6,PM,Dinner
182359,18:23:59,18,23,59,PM,Dinner
183104,18:31:04,18,31,4,PM,Dinner
184628,18:46:28,18,46,28,PM,Dinner
184727,18:47:27,18,47,27,PM,Dinner
184923,18:49:23,18,49,23,PM,Dinner
190609,19:06:09,19,6,9,PM,Dinner
190634,19:06:34,19,6,34,PM,Dinner
191259,19:12:59,19,12,59,PM,Dinner
192624,19:26:24,19,26,24,PM,Dinner
193125,19:31:25,19,31,25,PM,Dinner
201447,20:14:47,20,14,47,PM,Evening Snack
201551,20:15:51,20,15,51,PM,Evening Snack
201825,20:18:25,20,18,25,PM,Evening Snack
202312,20:23:12,20,23,12,PM,Evening Snack
205110,20:51:10,20,51,10,PM,Evening Snack
211016,21:10:16,21,10,16,PM,Evening Snack
211348,21:13:48,21,13,48,PM,Evening Snack
214756,21:47:56,21,47,56,PM,Evening Snack
220405,22:04:05,22,4,5,PM,Evening Snack
221903,22:19:03,22,19,3,PM,Evening Snack
223232,22:32:32,22,32,32,PM,Evening Snack
121119,12:11:19,12,11,19,PM,Lunch
122119,12:21:19,12,21,19,PM,Lunch
122747,12:27:47,12,27,47,PM,Lunch
122853,12:28:53,12,28,53,PM,Lunch
